Title,Product Number,Image,Size,Packaging,Inner Price,Case Price,UPC,Availability,Description,Features
Artificial Flower Garland,25-0417PE,https://portofino.azureedge.net/25-0417PE.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715506,9 Cases and 2 Inners,,
Artificial Flower Garland,25-0417PK,https://portofino.azureedge.net/25-0417PK.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715445,Please contact us for availability.,,
Artificial Flower Garland,25-0417WH,https://portofino.azureedge.net/25-0417WH.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715407,3 Cases and 0 Inner,,
Artificial Flower Garland,25-0417IV,https://portofino.azureedge.net/25-0417IV.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715414,Please contact us for availability.,,
Artificial Hydrangea Flower Garland - Burgandy,25-0316BG,https://portofino.azureedge.net/25-0316BG.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910714516,5 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificial Hydrangea Flower Garland - Blush,25-0316BH,https://portofino.azureedge.net/25-0316BH.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910714523,1 Case and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificia Hydrangeal Flower Garland - Blue,25-0316BL,https://portofino.azureedge.net/25-0316BL.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910713908,1 Case and 1 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificial Hydrangea Flower Garland - Fuchsia,25-0316FS,https://portofino.azureedge.net/25-0316FS.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910700854,9 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificial Hydrangea Flower Garland - Lavender,25-0316LA,https://portofino.azureedge.net/25-0316LA.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910700878,11 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificial Hydrangea Flower Garland - Pink,25-0316PK,https://portofino.azureedge.net/25-0316PK.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910700861,3 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificial Hydrangea Flower Garland - Purple,25-0316PU,https://portofino.azureedge.net/25-0316PU.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745910700885,5 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
Artificial Hydrangea Flower Garland - White,25-0316WH,https://portofino.azureedge.net/25-0316WH.jpg,"80""",24EA/INNER / 48EA/CASE,$2.75 EA,$2.50 EA,745721066446,46 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White', '80"" tall']"
"Artificial Rose Garland 78"" - Aqua",25-0231AQ,https://portofino.azureedge.net/25-0231AQ.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721060208,1 Case and 1 Inner,,
"Artificial Rose Garland 78"" - Blush",25-0231BH,https://portofino.azureedge.net/25-0231BH.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745910713441,Please contact us for availability.,,
"Artificial Rose Garland 78"" - Blue",25-0231BL,https://portofino.azureedge.net/25-0231BL.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745910699158,0 Case and 6 Inners,,
"Artificial Rose Garland 78"" - Fuchsia",25-0231FS,https://portofino.azureedge.net/25-0231FS.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721060260,Please contact us for availability.,,
"Artificial Rose Garland 78"" - Ivory",25-0231IV,https://portofino.azureedge.net/25-0231IV.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745910699141,0 Case and 1 Inner,,
"Artificial Rose Garland 78"" - Pink",25-0231PK,https://portofino.azureedge.net/25-0231PK.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721060239,3 Cases and 6 Inners,,
"Artificial Rose Garland 78"" - Purple",25-0231PU,https://portofino.azureedge.net/25-0231PU.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721060192,1 Case and 3 Inners,,
"Artificial Rose Garland 78"" - Royal Blue",25-0231RB,https://portofino.azureedge.net/25-0231RB.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721060222,0 Case and 5 Inners,,
"Artificial Rose Garland 78"" - Red",25-0231RD,https://portofino.azureedge.net/25-0231RD.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721060246,Please contact us for availability.,,
"Artificial Rose Garland 78"" - White",25-0231WH,https://portofino.azureedge.net/25-0231WH.jpg,"78"" LONG",12EA/INNER / 96EA/CASE,$2.50 EA,$2.25 EA,745721046561,Please contact us for availability.,,
Artificial Flower - White,25-0450WH,https://portofino.azureedge.net/25-0450WH.jpg,"78""",120EA/INNER / 720EA/CASE,$2.25 EA,$1.95 EA,745910717821,5 Cases and 5 Inners,,
"Artificial Hydrangea Branch 43½"" - Blush",25-0419BH,https://portofino.azureedge.net/25-0419BH.jpg,"43½""",6DZ/INNER / 6DZ/CASE,$13.95 EA,$13.95 EA,745910729084,3 Cases and 0 Inner,,
"Artificial Hydrangea Branch 43½"" - Ivory",25-0419IV,https://portofino.azureedge.net/25-0419IV.jpg,"43½""",6DZ/INNER / 6DZ/CASE,$13.95 EA,$13.95 EA,745910715612,6 Cases and 0 Inner,,
"Artificial Hydrangea Branch 43½"" - Lavender",25-0419LA,https://portofino.azureedge.net/25-0419LA.jpg,"43½""",6DZ/INNER / 6DZ/CASE,$13.95 EA,$13.95 EA,745910733753,5 Cases and 0 Inner,,
"Artificial Hydrangea Branch 43½"" - Pink",25-0419PK,https://portofino.azureedge.net/25-0419PK.jpg,"43½""",6DZ/INNER / 6DZ/CASE,$13.95 EA,$13.95 EA,745910733760,5 Cases and 0 Inner,,
"Artificial Hydrangea Branch 43½"" - White",25-0419WH,https://portofino.azureedge.net/25-0419WH.jpg,"43½""",6DZ/INNER / 6DZ/CASE,$13.95 EA,$13.95 EA,745910715605,Please contact us for availability.,,
"Large Flower Candle Rings 9"" - Gold",25-0040GD,https://portofino.azureedge.net/25-0040GD.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$18.60 EA,$17.40 EA,745910722320,2 Cases and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Silver",25-0040SV,https://portofino.azureedge.net/25-0040SV.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$18.60 EA,$17.40 EA,745910722337,7 Cases and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Burgundy",25-0040BG,https://portofino.azureedge.net/25-0040BG.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745910722313,Please contact us for availability.,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Blush",25-0040BH,https://portofino.azureedge.net/25-0040BH.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745910713434,3 Cases and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Black",25-0040BK,https://portofino.azureedge.net/25-0040BK.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745721064022,1 Case and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Blue",25-0040BL,https://portofino.azureedge.net/25-0040BL.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720926529,2 Cases and 1 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Fuchsia",25-0040FS,https://portofino.azureedge.net/25-0040FS.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720927830,5 Cases and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Ivory",25-0040IV,https://portofino.azureedge.net/25-0040IV.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720927823,2 Cases and 1 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Lavender",25-0040LA,https://portofino.azureedge.net/25-0040LA.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720927847,3 Cases and 1 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Pink",25-0040PK,https://portofino.azureedge.net/25-0040PK.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720927861,9 Cases and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Purple",25-0040PU,https://portofino.azureedge.net/25-0040PU.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720927878,Please contact us for availability.,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Red",25-0040RD,https://portofino.azureedge.net/25-0040RD.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745721064039,1 Case and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - White",25-0040WH,https://portofino.azureedge.net/25-0040WH.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745720927892,7 Cases and 0 Inner,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Large Flower Candle Rings 9"" - Royal Blue",25-0040RB,https://portofino.azureedge.net/25-0040RB.jpg,"9"" x 3""",4DZ/INNER / 8DZ/CASE,$17.95 EA,$16.20 EA,745910700724,Please contact us for availability.,,"['Made of polyester and plastic', '1 pc per bag', 'Fits most standard candles']"
"Jumbo Rose 44"" - Pink",25-0428PK,https://portofino.azureedge.net/25-0428PK.jpg,"14"" x 44""",12EA/INNER / 12EA/CASE,$9.95 EA,$9.95 EA,745910717128,5 Cases and 0 Inner,,
"Jumbo Rose 44"" - Red",25-0428RD,https://portofino.azureedge.net/25-0428RD.jpg,"14"" x 44""",12EA/INNER / 12EA/CASE,$9.95 EA,$9.95 EA,745910717104,37 Cases and 0 Inner,,
"Jumbo Rose 44"" - White",25-0428WH,https://portofino.azureedge.net/25-0428WH.jpg,"14"" x 44""",12EA/INNER / 12EA/CASE,$9.95 EA,$9.95 EA,745910717111,15 Cases and 0 Inner,,
"Artificial Hydrangea Mat 24"" - Blush",25-0319BH,https://portofino.azureedge.net/25-0319BH.jpg,"16"" x 24"" x 1½""",12EA/INNER / 12EA/CASE,$9.75 EA,$8.75 EA,745910708836,1 Case and 0 Inner,"ThisFlower mat is fastened to a flexible plastic base, making it easy to be able to wire a few together to create backdrops and runners for any event.","['Made of plastic', '16 x 24 x 1½""', '1 piece']"
"Artificial Hydrangea Mat 24"" - Gold",25-0319GD,https://portofino.azureedge.net/25-0319GD.jpg,"16"" x 24"" x 1½""",12EA/INNER / 12EA/CASE,$9.75 EA,$9.75 EA,745910724751,7 Cases and 0 Inner,"This Flower mat is fastened to a flexible plastic base, making it easy to be able to wire a few together to create backdrops and runners for any event.","['Made of plastic', '16 x 24 x 1½""', '1 piece']"
"Artificial Hydrangea Mat 24"" - Ivory",25-0319IV,https://portofino.azureedge.net/25-0319IV.jpg,"16"" x 24"" x 1½""",12EA/INNER / 12EA/CASE,$9.75 EA,$8.75 EA,745910714240,54 Cases and 0 Inner,"ThisFlower mat is fastened to a flexible plastic base, making it easy to be able to wire a few together to create backdrops and runners for any event.","['Made of plastic', '16 x 24 x 1½""', '1 piece']"
"Artificial Hydrangea Mat 24"" - Pink",25-0319PK,https://portofino.azureedge.net/25-0319PK.jpg,"16"" x 24"" x 1½""",12EA/INNER / 12EA/CASE,$9.75 EA,$8.75 EA,745910702940,Please contact us for availability.,"ThisFlower mat is fastened to a flexible plastic base, making it easy to be able to wire a few together to create backdrops and runners for any event.","['Made of plastic', '16 x 24 x 1½""', '1 piece']"
"Artificial Hydrangea Mat 24"" - Red",25-0319RD,https://portofino.azureedge.net/25-0319RD.jpg,"16"" x 24"" x 1½""",12EA/INNER / 12EA/CASE,$9.75 EA,$8.75 EA,745910707440,24 Cases and 0 Inner,"ThisFlower mat is fastened to a flexible plastic base, making it easy to be able to wire a few together to create backdrops and runners for any event.","['Made of plastic', '16 x 24 x 1½""', '1 piece']"
